text,rating
"Radio.Garden lets you tune into the globe – TechCrunch. Some of the most beautiful products are the simplest. Take Radio.Garden, for example. This project by Golo Föllmer at Martin-Luther University Halle displays a photorealistic globe full of green dots. Swing your mouse over one of the dots — in Iran, Estonia or the Faroe Islands — and you can hear a local radio station. The interface itself is surprisingly calming. You’re immediately drawn to the farthest corners of the Earth. Rolling over Iceland brings up some Spice Girls and some local talk radio. Visiting Tehran calls a swirl of disco out of the ambient hisses and pops that Radio.Garden adds to the experience. It’s a beautiful reminder that wherever you go you can probably hear Eric Clapton or Jamiroquai clamoring out of a tinny speaker in some back-alley cafe or a dark taxi. “By bringing distant voices close, radio connects people and places,” writes Föllmer. “Radio Garden allows listeners to explore processes of broadcasting and hearing identities across the entire globe. From its very beginning, radio signals have crossed borders. Radio makers and listeners have imagined both connecting with distant cultures, as well as re-connecting with people from ‘home’ from thousands of miles away — or using local community radio to make and enrich new homes.” He’s absolutely right. Radio has been given short shrift in this era of always on information. It’s a medium from another era, truncated in about 2000 by consolidation and the bubble gumming of the airwaves. But we’re reminded by this beautiful project that there is nothing more magical than picking up a tinny FM station on a long drive between two distant spots and living, for a moment, behind the windows and walls of a far off farmhouse silhouetted by the moon and full of light and sound and life.",0.0
"Julian Assange Sees ’Incredible Double Standard’ In Clinton Email Case. Julian Assange says if the United States government sees him as a threat to national security, it should see Hillary Clinton as one, too. In an interview with Morning Edition’s David Greene, the founder of WikiLeaks called the Department of Justice’s decision not to prosecute Clinton for handling classified information on her private email server an ”incredible double standard.” Assange has been living in the Ecuadorean Embassy in London for four years to avoid extradition to Sweden, where he is wanted for questioning on suspicion of rape. In a statement last month, FBI director James Comey said the FBI ”did not find clear evidence that Secretary Clinton or her colleagues intended to violate laws,” but that the use of a private email server was ”extremely careless.” Comey advised the Justice Department that ”no charges are appropriate in this case,” and career prosecutors agreed. Assange noted that, had a case proceeded, Clinton could have been prosecuted under the Espionage Act of 1917, which bans the disclosure of classified information to an unauthorized person ”with intent or reason to believe that the information is to be used to the injury of the United States.” Assange said in the past courts have found that a lack of intent to harm the United States did not absolve the accused of guilt. ”There has been an interpretation saying that it doesn’t matter that you didn’t intend to harm the United States, but they seem to have changed the standard.” In 2013, U. S. Army Pfc. Chelsea Manning was convicted of the Espionage Act after disclosing classified military information to WikiLeaks. Some have criticized the conviction, arguing Manning was a whistleblower, not a spy with intent to harm the United States. In his NPR interview, Assange regarded the open disclosure of information with reverence. He referred to WikiLeaks’ 11 million documents as a ”rebel Library of Alexandria.” ”I believe that the way to justice is education,” Assange said. ”By bringing out into the public domain how human institutions actually behave, we can understand frankly, to a degree, for the first time the civilization that we actually have.” As an example, he cited one of WikiLeaks’ more recent publications: the 20, 000 hacked emails from the Democratic National Committee. Those emails revealed that some senior DNC staffers had worked to promote the candidacy of Hillary Clinton over her opponent Bernie Sanders. Four DNC officials resigned in the aftermath, including its chair, Florida Rep. Debbie Wasserman Schultz. Assange called the leak ”a great journalistic scoop.” ”That’s a remarkable and important contribution to U. S. democracy by our sources and by WikiLeaks,” Assange said. He questioned how other publications might have handled the information. ”What media organization who had received that information would not publish it? I think that’s a real question. I would like to say the answer is no media organization would censor that material,” Assange said. But, he added, ”I’m not confident that in fact all media in the United States would have published those emails,” referring to what he called the partisan nature of the U. S. media landscape leading up to the election. The potential source of the leaked material has intrigued some as much as its substance: U. S. officials have said they’re ”highly confident” the DNC hack was the work of the Russian government. Assange said he could not give any information to Greene about who his sources are. ”So far we have a perfect record of WikiLeaks having never revealed information that exposed a source over 10 years,” Assange said. In the interview, Assange also spoke about the Trump campaign  ” he’d happily receive any authentic ”internal documentation” from it. And when asked about the murder of a DNC staffer early last month, who some have speculated was a WikiLeaks source, Assange repeated that WikiLeaks does not disclose its sources, ”even dead sources.”",-0.5
"Uber hires second law firm to investigate harassment claims. Susan Fowler Rigetti, the former Uber engineer who recently accused the company of ignoring sexual harassment and gender discrimination, today sent out a tweet that again had Silicon Valley buzzing: Uber names/blames me for account deletes, and has a different law firm -not Holders - investigating me. I have hired https://t.co/IBL14Vj4o1— Susan Fowler Rigetti (@susanthesquark) March 2, 2017 The reference to ""Holders"" law firm is Covington & Burling, where former U.S. Attorney General Eric Holder is a partner. Following Rigetti's initial claims, Uber retained Holder to investigate. An Uber spokeswoman tells Axios that it has indeed hired an alternate law firm: Uber also says that Perkins Coie has been in contact with Rigetti's attorneys. Axios has reached out to Rigetti for comment, and will update if she replies.",0.0
"Who’s Getting Money from NIH?. As Democrats and the scientific establishment howl over President Trump’s proposed budget cuts to the National Institutes of Health (NIH) Congress is investigating whether that agency misspent U. S. tax dollars to fund two European cancer institutions now under scrutiny for conflicts of interest and dubious science. Key lawmakers are also trying to understand the nature of the cozy relationship between federal bureaucrats with budgets and foreign researchers who are eager to accept grants to promote a political agenda at taxpayers’ expense. On March 24, House Science, Space, and Technology Committee chairman Lamar Smith sent a letter to Health and Human Services Secretary Tom Price (who oversees NIH) requesting information about millions of dollars paid to the Ramazzini Institute, an obscure but controversial cancer    based in Italy. The funds were given out by NIH’s National Institute of Environmental Health Sciences (NIEHS) run by Linda Birnbaum she is also, coincidentally, a Ramazzini fellow. According to the Ramazzini Institute’s website, it achieves “extremely important results at international level [sic] in research into carcinogenic substances present in the environment we live in and in the food that we eat. ” Ramazzini claims to work with NIH to develop “experimental data from   cancerogenesis bioassays . . . and make available to the scientific community the data of the studies published, and therefore to allow qualitative and quantitative evaluation of the risk and other research. ” Despite this claim, no scientific research or budget information is available on their website. Birnbaum  —   who describes her research as focusing on “the pharmacokinetic behavior of environmental chemicals, mechanisms of action of toxicants including endocrine disruption, and linking of   exposures to health effects”  —   has used her post at NIH to waste hundreds of millions of tax dollars promoting a chemophobic agenda. Her agency gave out $172 million in research grants between 2000 and 2014 to try to show how bisphenol A  —   commonly known as BPA  —   affects humans, particularly as a vague “endocrine disruptor. ” Birnbaum also squandered $25 million on research that allegedly found male rats exposed to cell phones for nine hours a day had a slight increase in two types of cancer. (She did not respond to an   seeking comment about Congress’s investigation into her agency.) In a September 2016 letter to NIH, Representative Jason Chaffetz, chairman of the House Committee on Oversight and Government Reform, had harsh words for IARC: “Despite this record of controversy, retractions, and inconsistencies, IARC receives substantial taxpayer funding from NIH. ” He asked for an accounting of NIH’s funding to IARC, saying their standards are “inconsistent with other scientific research, and have generated much controversy and alarm. ” IARC and Ramazzini also have ties. The working group that produced one of IARC’s most controversial reports  —   suggesting that the common weed killer glyphosate is probably carcinogenic  —   included five Ramazzini fellows. That report has been under fire because it flies in the face of other findings as the only study to show that glyphosate causes cancer. Now activists are trying to get the product banned. Glyphosate, the active ingredient in the herbicide Roundup, is used on many genetically engineered crops, which environmental activists oppose. The man who initiated the glyphosate report  —   Dr. Christopher Portier  —   also has ties to Birnbaum and NIEHS. Portier worked for NIEHS for 32 years, most recently serving as Birnbaum’s associate director, and had his own laboratory focused on how the environment negatively impacts human health. He, like Birnbaum, is a Ramazzini fellow. Portier has since become a     activist. This is just one more example of how science has been politicized at several federal agencies and why it’s necessary for Congress to finally demand accountability. Under the Obama administration, federal agencies including NIH refused to fully comply with FOIA requests and inquiries from Congress those records should now be available under the Trump administration. Activists within the   world want us to believe that any cuts to federal research spending will devastate scientific progress. In reality, the NIEHS’s cell phone, BPA, and Ramazzini debacles underscore the fact that when stewards of federal research dollars divert apparently essential science funds to support pet political projects and then defy oversight, Congress and the Trump administration aren’t the ones who should be blamed for halting scientific advances.,",1.0
"Hillary Clinton’s Campaign Calls Donald Trump’s Star of David Tweet Anti-Semitic - The New York Times. Hillary Clinton’s campaign said on Monday that an image posted by Donald J. Trump on Twitter over the weekend that showed a photo of Mrs. Clinton against a backdrop of $100 bills and a Star of David was “blatantly  . ” The post accused Mrs. Clinton, the presumptive Democratic presidential nominee, of being the “most corrupt candidate ever. ” But critics seized on the episode as the latest example of a longtime pattern of racially charged remarks by Mr. Trump, saying the post was meant to exploit stereotypes against Jewish people. In a rebuke on Tuesday, the House speaker, Paul Ryan, said in a radio interview with Charlie Sykes on WTMJ in Milwaukee, according to The Hill website: “Look,   images, they’ve got no place in a presidential campaign. Candidates should know that. ” Mr. Ryan added, “I really believe he’s got to clean up how his new media works. ” The backlash has been swift enough to cause Mr. Trump to do something relatively out of character: He deleted the original post, later sharing an image showing Mrs. Clinton next to a circle instead of the   star. The news website Mic traced the first image, posted by Mr. Trump on Saturday, to a message board containing   and   imagery, and to Twitter accounts that circulated the images. Sarah Bard, the Clinton campaign’s director of Jewish outreach, said in a statement: “Donald Trump’s use of a blatantly   image from racist websites to promote his campaign would be disturbing enough, but the fact that it’s a part of a pattern should give voters major cause for concern. Now, not only won’t he apologize for it, he’s peddling lies and blaming others. ” Though he replaced the image (one observer noted that the tips of the star were still visible in the new post) Mr. Trump took to Twitter on Monday to defend his original decision to post the image with a star. “Dishonest media is trying their absolute best to depict a star in a tweet as the Star of David rather than a Sheriff’s Star, or plain star!” he wrote. In a statement released on Monday night, Mr. Trump dismissed Mrs. Clinton’s campaign’s criticism as “false” and “ridiculous” and repeated his claim that the image was a “basic star often used by sheriffs who deal with criminals and criminal behavior. ” But some social media users have disputed Mr. Trump’s suggestion, with one person asking why would he delete a posting if he truly believed it was a sheriff’s star. Mr. Trump’s supporters have insisted that the image never contained a Star of David and that people were being too sensitive or politically correct. Corey Lewandowski, Mr. Trump’s former campaign manager, appeared on Sunday on CNN and called the reaction “political correctness run amok. ” Other Trump supporters said on Twitter that the news media was exploiting a nonissue. They said they supported the theory that those accusing Mr. Trump of   were creating a fictional subtext for the image. “The only reason the Trump sheriff star tweet is controversial is because CNN makes it that way,” wrote one supporter of Mr. Trump. But white nationalists, including the former Ku Klux Klan leader David Duke, weighed in with praise for the tweet: The   League has long condemned Mr. Trump’s remarks on immigrants as hate speech and stereotyping. It called on him in 2015 to stop “fomenting hatred. ” On Monday, Jonathan Greenblatt, the group’s chief executive, said in an interview that Mr. Trump’s handling of the controversy over the posting did not pass muster. “The most appropriate response to the criticisms would be to address them   to apologize, and to articulate firmly and forcefully that bigotry of any sort has no place in this campaign, and that hate has nothing to do with making America great again,” Mr. Greenblatt said. Mr. Trump seemed eager on Monday to move beyond the episode. He posted a flurry of messages about his potential choices for a   running mate: “The only people who are not interested in being the V. P. pick are the people who have not been asked!” He then wrote a post that blamed radical Islam for terrorist attacks.",-1.0
"This is Nest’s new video doorbell – TechCrunch. We’re live at a Nest press conference in San Francisco, where the company is debuting new products rapid fire. The latest debut: Nest Hello, a smart video doorbell. If you’re familiar with existing products like the Ring video doorbell, this one is of a similar vein — just with all of Nest’s usual polish. It’s got a microphone/speaker rig built-in so you can communicate with whoever’s at your door — but, in a clever move, they’ve also provided pre-recorded, tap-to-send quick responses for those times when shouting at your phone is inconvenient. Also super clever: Nap mode. Built with parents with sleeping babies in mind, you can disable your in-house chime while continuing to receive doorbell alerts on your phone. Meanwhile, the Hello will pick up the person/facial recognition system that Nest has spent the last few years building out in its Nest Cam IQ line. That means it can recognize whether that motion on your front porch is a human poking around or just some leaves blowing by. Nest says Hello will ship in Q1 of 2018; no price has been mentioned just yet.",0.0
"Whaling watchdog shrinks loophole allowing Japan’s ’scientific’ hunts.  The world’s whaling watchdog has voted to conduct stricter reviews of whales killed under an exemption to a    moratorium which Japan’s critics say it abuses to hunt for meat.  The resolution on Thursday, opposed by Japan and fellow whalers Norway and Iceland, was adopted by 34 yes votes to 17 against, at the 66th meeting of the International Whaling Commission (IWC). It is not legally binding on members of the commission, which has no policing or penalty function. Submitted by Australia and New Zealand, the resolution seeks to “improve” the review process for scientific whaling programmes  —   which Japan alone conducts, netting more than 15, 000 of the marine mammals since 1986. “We welcome this result as an important reaction to Japan unilaterally issuing its own permits for   scientific whaling,” said Matt Collis of the International Fund for Animal Welfare. “We all know that scientific whaling is sham science, and simply commercial whaling by another name. ” Japan defended its annual Southern Ocean whale hunt, saying it was gathering scientific data. The country insisted its actions were in keeping with a 2014 ruling of the International Court of Justice (ICJ) which found that permits issued by Japan were “not for purposes of scientific research” and instructed the country to halt its Jarpa II programme. “Reports oftentimes say (that) irrespective of the ICJ judgment Japan started the research, or in violation of the ICJ judgment . .. and that’s not true,” Japan’s commissioner to the IWC, Joji Morishita told fellow delegates. In the judgment of the court itself, “it is clear that the ICJ assumes there can be future research activities,” he insisted. “The ICJ also said . .. that the use of lethal sampling per se is not unreasonable in relation to the research objectives,” Morishita added. After the court ruling, Japan cancelled its   hunt, only to resume it the following year under a new programme called   (New Scientific Whale Research Program in the Antarctic Ocean). It killed 333 minke whales in the Southern Ocean  —   many of them pregnant, according to observers. The Southern Ocean hosts one of two whale sanctuaries in the world. The issue is a deeply divisive one at the biennial meetings of the IWC, which turned 70 this year. The meat from Japan’s hunts ends up on supermarket shelves and in restaurants, in line with an IWC stipulation that whales taken for research must be eaten. Under the IWC moratorium, all whaling other than for aboriginal subsistence, or science, is prohibited. Japan hunts under the science exemption, while Norway and Iceland lodged formal objections to the moratorium and continue commercial hunts. New Zealand’s commissioner Amy Laurenson expressed her country’s “deep disappointment” with Japan’s resumption of whaling without IWC approval. Japan had referred   to the IWC’s scientific committee, but started whaling before it could complete a review, she said, and accused Tokyo of sidelining the commission. “On the basis of the information the commission has before it, it is clear that   is not in fact for purposes of scientific research,” the commissioner argued, and called on Japan to “cease the lethal component of  ”. “Japan has still not justified the use of lethal sampling,” she said. For Kitty Block of the Humane Society International, Thursday’s vote shrank the scientific whaling “loophole”. “With its continued defiance and its unfettered whaling, Japan is not just killing whales but making itself a true outlier in the community of nations,” she said.",-0.5
"Intelligence Dems still in the dark about surveillance documents: lawmakers | TheHill. Frustrated Democrats from the House Intelligence Committee on Friday morning said they still have not seen intelligence from Chairman Devin Nunes (R-Calif.) that he says shows some form of potentially inappropriate surveillance or unmasking of Trump campaign associates. “Nothing — zero. He’s provided absolutely nothing,” ranking member Eric Swalwell (D-Calif.) said. “He’s not sharing what he told us yesterday he would share.” Asked if he was concerned Nunes was withholding information from Democrats, Rep. Mike Quigley (D-Ill.) said, “Well, we haven’t got the information that he talked about the other day.” Nunes on Thursday morning apologized to committee Democrats for going public with the information before speaking to them — and promised to share information with the minority about his findings. According to Nunes, he saw the documents at the agency where they are housed. He has provided vague and at times contradictory answers as to whether Trump associates were directly involved, saying that he is waiting to receive more information from the National Security Agency (NSA). He told reporters Friday morning that the NSA was complying fully but that he did not expect to receive all of that documentation on Friday, as had been previously expected. Prior to Nunes’s startling disclosure earlier this week, Nunes and Schiff together had sent a joint request for information that the chair said Friday “should encompass everything that I’ve seen.” Among other things, the letter demands to know who in U.S. government requested or authorized the unmasking of anyone associated with the Trump campaign. “It is possible that we will receive documents from the NSA today as we have requested, but I want to caution that I don’t expect the entirety of everything that we need today,” Nunes said. At this point, Nunes appears to be the only lawmaker who has seen the intelligence documents that he says “alarmed” him enough to brief the president immediately.  Democrats are outraged by Nunes’s handling of his discovery and have called for an independent commission to take over the investigation. “It looks like he’s running his own intelligence service at this point. He’s collecting classified information and briefing the president,” Swalwell said. Minority members met behind closed doors on Friday morning to “figure out what’s next,” Swalwell said. In the past, they have threatened to walk away from the investigation if they feel that it is not being handled ethically. Quigley said that while some committee Democrats were frustrated enough to want to walk away, there was a recognition that if they do so, they would be completely cutting off their ability to influence the investigation. “The worst choice would be to leave the investigation, the lights would go out,” Quigley said. “Occasionally members in frustration will say something like that, but when the group gets together, they recognize what I just said.” But, he said, “We’re having a lot of WTF moments.”  View the discussion thread. The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc.",0.0
"Amazon says it will add 1,000 more employees in the UK, bringing the total to 28,500, bucking the Brexit chill – TechCrunch. A lot of uncertainty hangs over the U.K. as it continues its slow march out of the European Union, but today one of the world’s biggest companies announced plans to expand its presence in the country. Amazon today said it would add another 1,000 workers in the U.K., including establishing its first corporate and R&D office in Manchester. Amazon said it also plans to add more people to its R&D bases in Edinburgh and Cambridge — respectively known for developing search technology as well as the AI technology that powers Alexa, among other things. The company says it currently has 27,500 “roles” in the U.K. The government is positioning Amazon’s news as a win at a time when many have been criticising how it has been handling Brexit negotiations. “Ensuring that the world’s best and brightest companies continue to invest and innovate in the UK is at the heart of our Global Britain agenda,” said Secretary of State for International Trade, Liam Fox, in a statement. “Amazon’s decision to create hundreds of highly-skilled jobs in Manchester, Edinburgh and Cambridge is an enormous vote of confidence in the UK and a signal to the world that the UK is very much open for business.” The news was announced today as the company presented an “Innovation Day” to journalists, showcasing some of the different areas that are the focus of its R&D hubs in Austria, France, Germany, Ireland, Italy, Luxembourg, Netherlands, Poland, Romania, Spain and the U.K. I was at the event, and while I wouldn’t say the day was strong on news announcements around that work, it’s instructive to consider what Amazon chose to show (and perhaps not show, too). For example, in one demo the company showed off today, a new computer vision-based system Amazon is building in Berlin will allow robots to identify what produce is ripe or rotten so that automatic pickers can select more robust fruit and vegetables to pack off to consumers, and identify what needs to be discarded. This underscores the company’s ambitions in the business of fresh food sales and delivery. Earlier this summer there were reports that Amazon was interested in bidding for a number of large retail locations that were due to be shut down by Homebase, a DIY chain, so that it could set up more delivery (or perhaps even retail) spots across key U.K. cities. However, so far nothing has materialised. You might think it’s ironic for a company that’s announcing job creation is also creating tech that will help eliminate jobs, but Amazon is the very embodiment of giving with one hand, and taking with the other. The company earlier this month announced it would be increasing the minimum wage in its warehouses, but at the same time it also announced that it would be ceasing bonuses (it claimed it would be a net positive for employees). A walk through some of the company’s transportation work, meanwhile, focused more incremental developments rather than fundamental shifts for the company. The focus in the presentation was not on drones (which Amazon has also been building in Europe), nor on autonomous cars (which Amazon is also working on) but on its real-time street navigation services, and other tools to help delivery people make more accurate parcel drops. While Amazon is continuing to add employees in the U.K., it has also had its share of employment controversies. Warehouse workers regularly strike during the company’s busiest sales periods to protest working conditions. And earlier this month, Reuters reported that the company had built an AI prototype to assist with finding and screening suitable candidates to help make its hiring spree more efficient. But the project had to be scrapped after it was found to be biased against women (highlighting some of the problems with “training” in machine learning). The company is also among the tech giants that might finally be held to task over taxes, although the issue has become very long in the tooth over the years, such that it has not been resolved. In the latest development, the EU commissioner who oversees taxes said that he was working on a deal that could be finalised before the end of this year, which could bring in about €5 billion in tax revenues from companies like Amazon, Google and Facebook, based on their “digital” presence rather than physical presence — the loophole that has kept American internet companies from paying large taxes on their profits up to now. However, if a deal isn’t reached soon, it could be pushed back by a year, since Brexit is expected to sidetrack everything in 2019.",0.0
"’Pro-black, Activist’ Rachel Dolezal: ’Race is a Social Construct’ - Breitbart. Rachel Dolezal  —   who was born white but spent years posing as a black civil rights leader  —   is back in the spotlight with a brand new memoir about her life as a “ ” women. [Dolezal’s book, In Full Color: Finding My Place in a Black and White World dives deep into the 2015 media frenzy that erupted after the former NAACP branch president identified as “ . ”  In an interview Saturday with CNN’s Michael Smerconish, Dolezal said: “I believe that race is a social construct. ” Feeling as though she has always been misunderstood after publicly coming out as   Dolezal said, “If I would have had time to really, you know, discuss my identity, I probably would have described a more complex label,     bisexual, mother, artist, activist, but I think the question, Are you  ?  —   I haven’t identified as  . ” “I’ve identified as black. And black is a culture, a philosophy, a political and social view,” she said. Asked if she believes there are parallels between herself and transgender reality TV star Caitlyn Jenner, Dolezal said, “I want to be careful because certainly every category of our identity is, you know, with its own unique circumstances and challenges. ” “But for sure there is some similarity in terms of harmonizing the outer appearance with the inner feeling,” she continued. “In terms of stigmatized identities, some people will forever see me as my birth category and nothing further. And the same with Caitlyn. ” Rachel Dolezal, a white woman who identifies as black, tells @smerconish about what she calls her ” ”ness https:  .   —   CNN (@CNN) April 1, 2017,  The former   culture instructor at Eastern Washington University recently changed her name to Nkechi Amare Diallo, a West African moniker that means “gift of God. ” Dolezal’s memoir, she says, was rejected by 30 publishing houses before one said it was willing to print. “There’s no protected class for me,” Dolezal told the Guardian last month. “I’m this generic, ambiguous scapegoat for white people to call me a race traitor and take out their hostility on. And I’m a target for anger and pain about white people from the black community. It’s like I am the worst of all these worlds. ” Unapologetic about identifying as a black women, Dolezal said “I’m not going to stoop and apologize and grovel and feel bad about it. I would just be going back to when I was little, and had to be what everybody else told me I should be  —   to make them happy. ” Jobless, on welfare, and on the brink of homelessness, Dolezal told the CNN host that she hopes the people who send her “hate” will hear her side of the story and read her new book. “Those who are going to hate, you know, I mean, they have their minds made up,” she said. “Maybe they’ll never read the book. I hope they do. ” Follow Jerome Hudson on Twitter: @JeromeEHudson",1.0
